personId,source,sourceID
1118,Real estate,560
1119,Real estate,560
1120,Diversified,187
1121,Banking,49
1121,Insurance,349
1121,Media,405
1122,Real estate,560
1123,Real Estate,559
1124,3D printing,1
1125,Scientific equipment,584
1126,Real estate,560
1127,Casinos,99
1128,Software,619
1129,Nutritional supplements,460
1130,Entertainment,221
1131,Mining,426
1132,Telecom,681
1133,Diversified,187
1134,Copy machines,154
1134,Software,619
1135,Consumer goods,145
1136,Consumer goods,145
1137,Real estate,560
1138,Biotech investing,72
1139,Facebook,229
1140,Technology services,680
1141,Agrochemicals,10
1142,Real estate,560
1142,Airport,16
1143,Snapchat,615
1144,Printing,548
1145,Movies,440
1145,Investments,360
1146,Mining,426
1146,Banking,49
1146,Hotels,327
1147,Fish farming,251
1148,Furniture,270
1149,Medical equipment,410
1150,Pharmaceuticals,517
1151,Real estate,560
1152,Biotech investing,72
1153,Investing,356
1154,Online games,474
1155,Beef processing,59
1156,Beef packing,58
1157,Magazines,396
1157,Media,405
1158,Chemicals,109
1159,Pharmaceuticals,517
1160,Investments,360
1161,E-cigarettes,193
1162,Airport management,17
1163,Pipelines,525
1164,Construction,140
1165,Battery components,55
1166,Campbell Soup,90
1167,Investments,360
1168,Investments,360
1169,Manufacturing,397
1170,Berkshire Hathaway,62
1171,Cosmetics,155
1172,Construction,140
1173,Airport,16
1174,Construction,140
1174,Investments,360
1175,Real estate,560
1176,Hedge funds,312
1177,Bakeries,46
1178,Software,619
1179,Auto dealerships,35
1180,Education,200
1181,Investments,360
1182,Diversified,187
1183,Travel,713
1184,Chemicals,109
1184,Investments,360
1185,Investments,360
1186,Prosthetics,551
1187,Retailing,575
1188,Investments,360
1189,Real estate,560
1189,Airport,16
1190,Hotels,327
1190,Investments,360
1191,Beer,60
1192,Payroll software,504
1193,Auto parts,37
1194,Pharmaceuticals,517
1195,Chemicals,109
1196,Liquefied natural gas,377
1197,Brakes,78
1197,Investments,360
1198,Food processing,262
1199,Heating and cooling equipment,310
1200,Electronics,211
1201,Security software,591
1202,Slim-Fast,609
1203,Shoes,604
1204,Shoes,604
1205,Shoes,604
1206,Engineering,220
1206,Construction,140
1207,Investments,360
1208,Liquor,378
1209,Consumer goods,145
1210,Car dealerships,92
1211,Video streaming app,733
1212,Fast food,235
1213,Fast food,235
1214,Hedge funds,312
1215,Cement,101
1216,Beef processing,59
1217,Aluminum,23
1217,Utilities,724
1218,Software,619
1219,Hedge funds,312
1220,Plastic pipes,527
1221,Fertilizer,239
1222,Information technology,346
1223,Private equity,549
1224,Gas stations,279
1225,Investments,360
1226,Music,441
1227,Engineering,220
1228,Energy,216
1229,Tobacco,700
1230,Engineering,220
1231,Paper & related products,495
1232,Real estate,560
